codigo_pro;nom_proyec;nom_abrev;programa;presupuest;nom_donant;nom_cordin;mar_genero;num_comuni;num_person;accion_ods;accion_gen;tipo_socio;nom_socio;agen_onu;otros_soci;ods
pnud_cr_10;Plan de Eliminaci├│n de HCFC en Costa Rica;HCFC ;Naturaleza, Clima y Energia;1 153 523,00;Comisi├│n Gubernamental de Ozono;Rodolfo Elizondo Hern├índez;GEN1;0;2134932.0;;El ├írea en la que se desarrolla el proyecto es limitada para enfocar esfuerzos en contribuir al empoderamiento de las mujeres, en igualdad de g├®nero rescatamos que los integrantes del proyecto se dividen en 50% hombres y 50% mujere;"Empresas p├║blicas estatales y no estatales;;Empresas privadas;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales;Gobiernos locales;Instituciones aut├│nomas;Ministerios o entidades adscritas;otros";"Ministerio de Hacienda; Direcci├│n General de Aduanas; INA; Fundaci├│n Samuel;MEP; UCR; TEC;UTN; Asociaci├│n de T├®cnicos Industriales;Colegio Federado de Ingenieros y Arquitectos;Asociaci├│n de T├®cnicos de Puntarenas;CCSS y empresas privadas.";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;12,15
pnud_cr_16;NDC Support Programme;NDC Support Programme;Naturaleza, Clima y Energia;1 515 602,00;PNUD;Agripina Jenkins Rojas;GEN2;0;507500.0;;Generar la informaci├│n sobre la vinculaci├│n entre cambio clim├ítico y g├®nero, adem├ís de apoyar los procesos de pol├¡tica p├║blica al respecto.;"Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Organizaciones de la sociedad civil;Organismos internacionales;Universidades p├║blicas";MINAE, MIDEPLAN, Ministerio de Hacienda, MAG, UCR, GIZ, Banco Mundial, BID, 5C, INAMU;Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;13, 1 ,17
pnud_cr_06;Programa de Peque├▒as Donaciones;PPD;Naturaleza, Clima y Energia;2 081 945,00;GEF;Charles Dixon Gray;GEN2;80;507500.0;;La igualdad de g├®nero y el empoderamiento de las mujeres son objetivos cr├¡ticos del Programa De Peque├▒as Donaciones (Ppd) a nivel global y local;"Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Gobiernos locales;Universidades p├║blicas;Empresas privadas;Organizaciones de la sociedad civil;Organismos internacionales";CADETI, MINAE, SINAC, MAG, INA, UNA, UNED, UCR, UTN, INDER, INAMU, AyA, GIZ, Gobiernos locales, Organizaciones de base comunitaria, ONG socioambientalistas;Programa de las Naciones Unidad para el Desarrollo (PNUD);GIZ, habitat para la Humanidad, CRUSA, IICA;"1;13;15"
pnud_cr_14;BIOFIN - Iniciativa Finanzas para la Biodiversidad;BIOFIN;Naturaleza, Clima y Energia;2 322 000,00;Federal Ministry for the Environment,Nature Conservation and Nuclear Safety of Germany, European Union,Norwegian Ministry of Foreign Affairs,Flanders State of the Art,Swiss Confederation;Ana Luc├¡a Orozco Rubio;GEN2;0;507500.0;;"Fortalecer la autonom├¡a econ├│mica, pol├¡tica y f├¡sica de las mujeres que trabajan en conservaci├│n; soluciones financieras de BIOFIN para potencializar la igualdad y la autonom├¡a econ├│mica de las mujeres; combate las brechas instituciones de g├®nero";"Ministerios;Gobiernos locales;Instituciones aut├│nomas;Empresas privadas;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales;otros";"Ministerio de Hacienda; MINAE; MIDEPLAN; MICITT; SINAC; CONAGEBIO, FONAFIFO; FUNBAM;Banco Central de Costa Rica, INEC; SUPEN; ICT; Banco Nacional;Banco Popular;Municipalidaddes;IMAS;INAMU;TEC; UTN; UNA; UCR; UNED;otros";Programa de las Naciones Unidad para el Desarrollo (PNUD);Socios de cooperaci├│n internacional: GiZ, CCAD, SICA, Uni├│n Europea, BID, CEPAL;14, 15
pnud_cr_20;Proyecto Gesti├│n Integrada de Recurso H├¡drico de la Cuenca Binacional del R├¡o Sixaola;Cuenca Binacional del Rio Sixaola;Naturaleza, Clima y Energia;4 386 210,00;Fondo Mundial para el Ambiente (GEF);;GEN2;0;507500.0;;;"Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Gobiernos locales;Organizaciones de la sociedad civil;Organismos internacionales";"Ministerio de Ambiente; Municipal de Changuinola, Municipalidad de Talamanca; OET; CNE; AyA ;Sistema National de Protecci├│n Civil (SINAPROC)";Organizaci├│n de Estudios Tropicales (OET);Sin dato;6, 14
pnud_cr_03;Proyecto ASADAS;ASADAS;Naturaleza, Clima y Energia;5 000 000,00;GEF;Gerardo Quir├│s Cuadra;GEN2;200;507500.0;"adaptaci├│n al cambio clim├ítico; gesti├│n empresarial y administrativa de los acueductos comunitarios; pol├¡ticas para dise├▒o de estrategias e inversiones en infraestructura para el abastecimiento de agua a las comunidades rurales";Promover acceso paritario en un sector en donde las mujeres, a pesar de participar activamente,  tienen poco acceso a los espacios de toma de direcci├│n y de toma de decisi├│n, y visibilizar los aportes de las mujeres en la gesti├│n comunitaria del agua.;"Instituciones aut├│nomas o adscritas;Gobiernos locales;Universidades p├║blicas;Ministerios o entidades adscritas;Entes p├║blicos no estatales;Organizaciones de la sociedad civil;";Ministerios: Salud, Ambiente (Instituto Meteorol├│gico, Direcci├│n del Agua, Direcci├│n Cambio Clim├ítico), Agricultura y Ganader├¡a,;Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;6
pnud_cr_04;Paisajes Productivos;Paisajes Productivos;Naturaleza, Clima y Energia;6 699 315,00;GEF;Miriam Miranda Quir├│s;GEN2;50;507500.0;"Acciones en adaptaci├│n al cambio clim├ítico; ciudades sostenibles; monitoreo de la biodiversidad; impulsar la igual de g├®nero; monitoreo de la deforestaci├│n del pa├¡s";esarrollar un activo accionar en cada actividad para incorporar a las mujeres en la implementaci├│n de las mismas para que el beneficio sea directa;Gobiernos locales , Organizaciones de la sociedad civil , Ministerios o entidades adscritas;MINAE-SINAC, Municipalidades de La Uni├│n, Curridabat, Montes de Oca, Alajuelita y San Jos├®, INVU;Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;5,6,11,12,15
pnud_cr_21;Gran Ecosistema Marino Costero del Pac├¡fico Centroamericano (PACA).;PACA;Naturaleza, Clima y Energia;7 147 209,00;Fondo Mundial para el Ambiente (GEF);;GEN2;0;507500.0;;;"Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Organizaciones de la sociedad civil;Organismos internacionales";Ministerio de Ambiente y Energ├¡a de Costa Rica (MINAE), Federaci├│n Costarricense de Pesca (FECOP),Instituto Costarricense de Pesca y Acuicultura (INCOPESCA);Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;10,13,14,17
pnud_cr_07;Programa Conjunto Fortalecimiento Estrategia Puente al Desarrollo;Programa Conjunto ;Desarrollo Humano y Gobernabilidad Democratica;8 560 000,00;Coordinaci├│n de la Oficina de la Coordinaci├│n Residente;Sof├¡a Salas;GEN3;3;507500.0;;"Fortalecer las capacidades Institucionales para la atenci├│n de mujeres emprendedoras en condici├│n de pobreza;Fortalecimiento de la Estrategia Puente al Desarrollo para romper el ciclo de pobreza a nivel local, con perspectiva de g├®nero y ambienta";"Ministerios o entidades adscritas;Instituciones aut├│nomas;Gobiernos locales;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales; actores sociales y privados";Miembros Comit├® Directivo del PC:  IMAS, INAMU, MTSS, MAG e MIDEPLAN, componentes Agro (MAG, INDER), Bienestar (IMAS, INAMU, CCSS, MIVAH, MIN SALUD, MEP, etc)  y  Trabajo (INA, MEIC, MTSS, MEP, IMAS).;"Coordinaci├│n de la OCR: FAO;OIT;ONU Mujeres;PNUD";Fundecooperaci├│n, ACRxS y tambi├®n con ONGs como Fundaci├│n Mujer, entre otros actores;"1; 5; 8; 10"
pnud_cr_05;Transici├│n hacia una econom├¡a verde urbana y beneficios ambientales globales;GEF 7;Naturaleza, Clima y Energia;10 000 000,00;GEF;;GEN2;0;507500.0;;El proyecto cuenta con un Plan de G├®nero que envuelve las diferentes acciones para buscar la participaci├│n y beneficios del proyecto a las mujere;"Poder Legislativo;Ministerios;Instituciones;Gobiernos locales;Empresas p├║blicas;Empresas privadas;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales;";"20 municipalidades de cantones involucrados; UNGL; ANA;Asamblea Legislativa; MINAE;MIVAH; DINADECO;AYA, INVU, IFAm; Otros";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;11,13
pnud_cr_17;Pagos basados en Resultados (REDD+);Pagos basados en Resultados (REDD+);Naturaleza, Clima y Energia;54 000 000,00;Fondo Verde para el Clima (FVC);Maureen Ballestero;GEN2;0;507500.0;;;"Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Organizaciones de la sociedad civil;Organismos internacionales;Universidades p├║blicas";"FONAFIFO; SINAC; IMN;INDER; INAMU; MINAE";Programa de las Naciones Unidad para el Desarrollo (PNUD);"Programa de apoyo al escalamiento de la ambici├│n clim├ítica sobre el uso de la tierra y la agricultura a trav├®s de NDC y PAN (SCALA); ART/TREES Arquitectura para las Transacciones REDD+; REDD+ (TREES);REDD+ (JNR);CONIFOR;ADI;FCPF";1,13,15
