codigo_pro,nom_proyec,nom_abrev,programa,presupuest,nom_donant,nom_cordin,mar_genero,num_comuni,num_person,accion_ods,accion_gen,tipo_socio,nom_socio,agen_onu,otros_soci,ods
pnud_cr_17,Pagos basados en Resultados (REDD+),Pagos basados en Resultados (REDD+),"Naturaleza, Clima y Energia",54000000,Fondo Verde para el Clima (FVC),Maureen Ballestero,GEN2,0,0,,,Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Organizaciones de la sociedad civil;Organismos internacionales;Universidades p├║blicas,FONAFIFO; SINAC; IMN;INDER; INAMU; MINAE,Programa de las Naciones Unidad para el Desarrollo (PNUD),Programa de apoyo al escalamiento de la ambici├│n clim├ítica sobre el uso de la tierra y la agricultura a trav├®s de NDC y PAN (SCALA); ART/TREES Arquitectura para las Transacciones REDD+; REDD+ (TREES);REDD+ (JNR);CONIFOR;ADI;FCPF,"1,13,15"
pnud_cr_14,BIOFIN - Iniciativa Finanzas para la Biodiversidad,BIOFIN,"Naturaleza, Clima y Energia",2322000,"Federal Ministry for the Environment,Nature Conservation and Nuclear Safety of Germany, European Union,Norwegian Ministry of Foreign Affairs,Flanders State of the Art,Swiss Confederation",Ana Luc├¡a Orozco Rubio,GEN2,0,0,,"Fortalecer la autonom├¡a econ├│mica, pol├¡tica y f├¡sica de las mujeres que trabajan en conservaci├│n; soluciones financieras de BIOFIN para potencializar la igualdad y la autonom├¡a econ├│mica de las mujeres; combate las brechas instituciones de g├®nero",Ministerios;Gobiernos locales;Instituciones aut├│nomas;Empresas privadas;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales;otros,"Ministerio de Hacienda; MINAE; MIDEPLAN; MICITT; SINAC; CONAGEBIO, FONAFIFO; FUNBAM;Banco Central de Costa Rica, INEC; SUPEN; ICT; Banco Nacional;Banco Popular;Municipalidaddes;IMAS;INAMU;TEC; UTN; UNA; UCR; UNED;otros",Programa de las Naciones Unidad para el Desarrollo (PNUD),"Socios de cooperaci├│n internacional: GiZ, CCAD, SICA, Uni├│n Europea, BID, CEPAL","14, 15"
pnud_cr_16,NDC Support Programme,NDC Support Programme,"Naturaleza, Clima y Energia",1515602,PNUD,Agripina Jenkins Rojas,GEN2,0,5075000,,"Generar la informaci├│n sobre la vinculaci├│n entre cambio clim├ítico y g├®nero, adem├ís de apoyar los procesos de pol├¡tica p├║blica al respecto.",Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Organizaciones de la sociedad civil;Organismos internacionales;Universidades p├║blicas,"MINAE, MIDEPLAN, Ministerio de Hacienda, MAG, UCR, GIZ, Banco Mundial, BID, 5C, INAMU",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"13, 1 ,17"
pnud_cr_11,Eliminaci├│n sostenible y respetuosa con el clima de las sustancias que agotan el ozono (SPODS),SPODS,"Naturaleza, Clima y Energia",326513,Uni├│n Europea,Rodolfo Elizondo Hern├índez,GEN1,0,5075000,,"El ├írea en la que se desarrolla el proyecto es limitada para enfocar esfuerzos en contribuir al empoderamiento de las mujeres, en igualdad de genero rescatamos que los integrantes del proyecto se dividen en 50% hombres y 50% mujeres",Ministerios o entidades adscritas,Direcci├│n de Gesti├│n de Calidad Ambiental (DIGECA) que pertenece al MINAE,Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"12, 15"
pnud_cr_01,Estrategia Nacional para la sustituci├│n de pl├ísticos de un solo uso,Plásticos de Un Solo Uso,"Naturaleza, Clima y Energia",500000,CRUSA,Juan Carlos Pi├▒ar Alvarado,GEN1,0,5075000,,"El proyecto se plante├│ desde su inicio como t├®cnico y de aplicaci├│n general a toda la poblaci├│n, por lo que no se incluye dentro de sus alcances el tema de g├®ner",Ministerios o entidades adscritas;Organizaciones de la sociedad civil,"Ministerio de Ambiente y Energ├¡a, Ministerio de Salud",Programa de las Naciones Unidad para el Desarrollo (PNUD),Fundaci├│n Costa Rica Estados Unidos para la Cooperaci├│n,"12, 13"
pnud_cr_10,Plan de Eliminaci├│n de HCFC en Costa Rica,HCFC ,"Naturaleza, Clima y Energia",1153523,Comisi├│n Gubernamental de Ozono,Rodolfo Elizondo Hern├índez,GEN1,0,5075000,,"El ├írea en la que se desarrolla el proyecto es limitada para enfocar esfuerzos en contribuir al empoderamiento de las mujeres, en igualdad de g├®nero rescatamos que los integrantes del proyecto se dividen en 50% hombres y 50% mujere",Empresas p├║blicas estatales y no estatales;;Empresas privadas;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales;Gobiernos locales;Instituciones aut├│nomas;Ministerios o entidades adscritas;otros,Ministerio de Hacienda; Direcci├│n General de Aduanas; INA; Fundaci├│n Samuel;MEP; UCR; TEC;UTN; Asociaci├│n de T├®cnicos Industriales;Colegio Federado de Ingenieros y Arquitectos;Asociaci├│n de T├®cnicos de Puntarenas;CCSS y empresas privadas.,Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"12,15"
pnud_cr_15,Fortalecimiento Institucional de la Oficina T├®cnica del Ozono,Oficina Técnica del Ozono,"Naturaleza, Clima y Energia",195000,Comisi├│n Gubernamental de Ozono,Mar├¡a del Pilar Alfaro Monge,GEN1,0,5075000,,"Desde hace un par de a├▒os hemos tratado de propiciar la participaci├│n de la mujer, se ha integrado el lenguaje inclusivo y rechazamos cualquier tipo de desigualdad en el marco del proyecto.",Tribunal Supremo de Elecciones;Ministerios;Instituciones aut├│nomas;Empresas privadas y p├║blicas;Universidades p├║blicas y privadas;Organizaciones de la sociedad civil;Gobiernos locales;Entes p├║blicos no estatales,"Ministerio de Hacienda, Salud, Ambiente y Energ├¡a; Universidades estatales y las empresas del sector privado que cuentan con sistemas RAC",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"12,13"
pnud_cr_12,Infosegura,Infosegura,Desarrollo Humano y Gobernabilidad Democratica,199000,USAID,Randall Brenes,GEN2,0,5075000,,"Generaci├│n y an├ílisis especializado de evidencia emp├¡rica sobre diversas manifestaciones de violencia que afectan a las mujeres, aplicando diversos criterios de desagregaci├│n y promoviendo la adopci├│n de pol├¡ticas y medidas para prevenirla y atende",Poder Judicial;Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Instituciones semiaut├│noma;Organismos internacionales;Universidades p├║blica,"Ministerio de Justicia y Paz, Ministerio de Seguridad, COMESCO, INEC, OIJ, ICD, Poder Judicial, Direcci├│n General de Adaptaci├│n Social, Programa Estado de la Naci├│n",Programa de las Naciones Unidad para el Desarrollo (PNUD),USAID,"5, 16 , 17"
pnud_cr_18,Atlas de Desarrollo Humano Cantonal,Atlas IDH,Desarrollo Humano y Gobernabilidad Democratica,0,Programa de Naciones Unidas para el Desarrollo (PNUD),Paola Omodeo,GEN2,0,5075000,,,Universidades p├║blicas,Escuela de Estad├¡stica de la Universidad de Costa Rica (UCR),Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"1,10,17"
pnud_cr_19,Construyendo una ruta com├║n al 2030,Hacia una ruta común 2030,Desarrollo Humano y Gobernabilidad Democratica,138000,Programa de Naciones Unidas para el Desarrollo (PNUD),,GEN2,0,5075000,,,Universidades p├║blicas;Instituciones aut├│nomas o adscritas;,"CINPE;FLACSO;IDESPO,OdD; Escuela de Estad├¡stica UCR",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"8, 16, 17"
pnud_cr_08,Sistema de Registros Administrativos de Gesti├│n Cultural,Registros Cultural,Desarrollo Humano y Gobernabilidad Democratica,109163,Gobierno de Costa Rica,Paola Omodeo Cubero,GEN2,0,5075000,,,Ministerios o entidades adscritas,"MCJ, Direcci├│n Cultura;Direcci├│n Bandas; SINABI;CPAC;Centro de Patrimonio; SINEM;Centro de Cine;Teatro Popular Melico Salazary Nacional;Archivo Nacional;CPJ; INM;Centro Cultural e Hist├│rico Jos├® Figueres Ferrer;Parque La Libertad;Museos",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,17
